Program,Access,State,StateCode,City,Address,ZipCode,Latitude,Longitude
Electric Vehicle Charging Stations,Public,Maryland,MD,Glen Burnie,7232 Ritchie Hwy,21061,39.172867614000495,-76.61898938299964
Electric Vehicle Charging Stations,Public,Maryland,MD,Glen Burnie,7901 Ritchie Hwy,21061,39.1403117480005,-76.60233776899963
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,5245 Greenbelt Rd,20740,38.99807783400047,-76.92303048299965
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,5201 Paint Branch Pkwy,20740,38.976794553000445,-76.92353021299965
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,Paint Branch Dr,20740,38.998784241000465,-76.94153593399966
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,Library Ln,20740,38.984453879000455,-76.94538865799967
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,9827 Rhode Island Ave,20740,39.01377643000046,-76.92139116899966
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,Stadium Dr,20740,38.99016211100047,-76.93725808199963
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,9330 Baltimore Ave,20740,39.00780948200048,-76.92953446399963
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,4116-4138 Mowatt Ln,20740,38.981291988000464,-76.94484839099965
Electric Vehicle Charging Stations,Public,Maryland,MD,Catonsville,6323 Baltimore National Pike,21228,39.283864190000486,-76.75565525099967
Electric Vehicle Charging Stations,Public,Maryland,MD,Catonsville,5657 Baltimore National Pike,21228,39.28875050400046,-76.72823641899964
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,9616 Harford Rd,21234,39.39582916000046,-76.52262700599965
Electric Vehicle Charging Stations,Public,Maryland,MD,Bowie,4961 Telsa Dr,20715,38.956984590000445,-76.70776960599966
Electric Vehicle Charging Stations,Public,Maryland,MD,Waldorf,50 Village St,20602,38.601754799000446,-76.90024756899965
Electric Vehicle Charging Stations,Public,Maryland,MD,Waldorf,25 High St,20602,38.60257454800046,-76.90293531799966
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,115 Towsontown Blvd W,21204,39.40203000500048,-76.61713863499966
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,110 W Susquehanna Ave,21204,39.39871538300048,-76.60642807299968
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,Towsontown Blvd,21204,39.39557052700047,-76.62719794099968
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,Emerson Dr,21204,39.393360747000486,-76.61472751499963
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,100 W Susquehanna Ave,21204,39.411046454000484,-76.61493396499964
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,7764-7788 MD 45,21204,39.38389278800048,-76.60700878199964
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,108 Ware Ave,21204,39.40321750700048,-76.60513297699964
Electric Vehicle Charging Stations,Public,Maryland,MD,Ellicott City,8569 Baltimore National Pike,21043,39.28332564900046,-76.80905632299965
Electric Vehicle Charging Stations,Public,Maryland,MD,Eldersburg,1260 Liberty Rd,21784,39.404317824000486,-76.95140340199964
Electric Vehicle Charging Stations,Public,Maryland,MD,Rockville,1011 Higgins Pl,20852,39.04877236800047,-77.11997743299963
Electric Vehicle Charging Stations,Public,Maryland,MD,Rockville,5566 Randolph Rd,20852,39.05328797700048,-77.11184382199963
Electric Vehicle Charging Stations,Public,Maryland,MD,Rockville,5635 Fishers Ln,20852,39.06279793300047,-77.11482738599966
Electric Vehicle Charging Stations,Public,Maryland,MD,Rockville,5515 Security Ln,20852,39.04184611600044,-77.11094169999967
Electric Vehicle Charging Stations,Public,Maryland,MD,Rockville,11351 Woodglen Dr,20852,39.04255307000045,-77.11329419599963
Electric Vehicle Charging Stations,Public,Maryland,MD,Bel Air,1927 Emmorton Rd,21015,39.503913147000446,-76.32736882099965
Electric Vehicle Charging Stations,Public,Maryland,MD,Bel Air,2108 Emmorton Rd,21015,39.49876027300047,-76.32532332499966
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,5 N Paca St,21201,39.28940167000047,-76.62224532599964
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,120 Penn St,21201,39.287170337000475,-76.62594811699967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,622 W Fayette St,21201,39.29026747400047,-76.62482141699968
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,400 W Lexington St,21201,39.291456123000444,-76.62249701199966
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,500 W Redwood St,21201,39.28861134800047,-76.62235103699965
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,110 S Paca St,21201,39.28658869800046,-76.62211622499967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,646 W Pratt St,21201,39.28617770800048,-76.62495170199963
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,10 N Greene St,21201,39.289758178000454,-76.62374597199965
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,220 Arch St,21201,39.29226794100049,-76.62532597499967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,600 W Lexington St,21201,39.29167810500047,-76.62395205999968
Electric Vehicle Charging Stations,Public,Maryland,MD,Randallstown,9110 Liberty Rd,21133,39.369545927000445,-76.80011758499967
Electric Vehicle Charging Stations,Public,Maryland,MD,Randallstown,5401 Old Court Rd,21133,39.35955543300048,-76.78195821699967
Electric Vehicle Charging Stations,Public,Maryland,MD,Glen Burnie,115 Old Farm Ct,21060,39.16035669500047,-76.59869926299967
Electric Vehicle Charging Stations,Public,Maryland,MD,Gaithersburg,301 Teachers Way,20877,39.14255284400048,-77.18270759899963
Electric Vehicle Charging Stations,Public,Maryland,MD,Chevy Chase,445 Willard Ave,20815,38.960323427000446,-77.09683613799967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,200 N Holliday St,21202,39.29167810500047,-76.61029581699967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,707 President St,21202,39.28289226600049,-76.60136411399964
Electric Vehicle Charging Stations,Public,Maryland,MD,Perry Point,Circle Dr,21902,39.55410085300048,-76.07219673599963
Electric Vehicle Charging Stations,Public,Maryland,MD,Brooklyn,5740 Ritchie Hwy,21225,39.216530124000485,-76.61448595799965
Electric Vehicle Charging Stations,Public,Maryland,MD,Forest Hill,2016 Rock Spring Rd,21050,39.57351902000045,-76.38543329299966
Electric Vehicle Charging Stations,Public,Maryland,MD,White Plains,4680 Crain Hwy,20695,38.58363688600048,-76.94974285899963
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,1040 Hull St,21230,39.27479365100049,-76.59041922799963
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,1800 Washington Blvd,21230,39.27521362800047,-76.64236962799964
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,1450 Beason St,21230,39.271836876000464,-76.59289210399965
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,1700 Whetstone Way,21230,39.269038380000495,-76.59975479199966
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,5701 Smith Ave,21209,39.36789841400048,-76.65243000299967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,2560 Quarry Lake Dr,21209,39.384630108000465,-76.68724546799967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,3 Railroad Ave,21209,39.37609743700045,-76.65067549699967
Electric Vehicle Charging Stations,Public,Maryland,MD,Hanover,7522 Teague Rd,21076,39.154914334000466,-76.71646865899964
Electric Vehicle Charging Stations,Public,Maryland,MD,Hanover,7789 Arundel Mills Blvd,21076,39.15372458800044,-76.74284767499967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,80 W Oliver St,21217,39.30654836700046,-76.61877263699967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,1401 W Mt Royal Ave,21217,39.3089432430005,-76.62225124799966
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,1515 W Mt Royal Ave,21217,39.30976403900047,-76.62326154899966
Electric Vehicle Charging Stations,Public,Maryland,MD,Annapolis,29 Saint Johns St,21401,38.981654954000476,-76.49358455299966
Electric Vehicle Charging Stations,Public,Maryland,MD,Annapolis,351 Dubois Ave,21401,39.00173904900049,-76.52447143999967
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,5 E Pennsylvania Ave,21286,39.40032281000049,-76.60130377999963
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,8725 Loch Raven Blvd,21286,39.39870846000048,-76.56387406899967
Electric Vehicle Charging Stations,Public,Maryland,MD,Mount Airy,302 Century Dr,21771,39.367873542000495,-77.14261921899964
Electric Vehicle Charging Stations,Public,Maryland,MD,Laurel,13401 Baltimore Ave,20707,39.07408785700045,-76.87060061299968
Electric Vehicle Charging Stations,Public,Maryland,MD,Westminister,444 WMC Dr,21158,39.58621493200047,-77.01134128699965
Electric Vehicle Charging Stations,Public,Maryland,MD,Bowie,2500 N Crain Hwy,20716,38.924288695000484,-76.71736123199963
Electric Vehicle Charging Stations,Public,Maryland,MD,Germantown,19574 Amaranth Dr,20874,39.176279758000476,-77.25063273899963
Electric Vehicle Charging Stations,Public,Maryland,MD,Germantown,19300 Germantown Rd,20874,39.17200299500047,-77.27688980899967
Electric Vehicle Charging Stations,Public,Maryland,MD,Landover,8001 Sheriff Rd,20785,38.91351720500046,-76.86781525799967
Electric Vehicle Charging Stations,Public,Maryland,MD,Landover,1600 FedEx Way,20785,38.909088486000485,-76.86362613099965
Electric Vehicle Charging Stations,Public,Maryland,MD,Gaithersburg,9140 Rothbury Dr,20879,39.16688265300047,-77.18454855899967
Electric Vehicle Charging Stations,Public,Maryland,MD,Lanham-Seabrook,4371 Parliament Pl,20706,38.950170191000495,-76.83658792399967
Electric Vehicle Charging Stations,Public,Maryland,MD,Bel Air,1506 Bel Air Rd,21014,39.50443879800048,-76.38197900299963
Electric Vehicle Charging Stations,Public,Maryland,MD,Bel Air,1201 E Churchville Rd,21014,39.543185107000454,-76.32693767399968
Electric Vehicle Charging Stations,Public,Maryland,MD,Bel Air,585 Marketplace Dr,21014,39.52436606500049,-76.34974998099966
Electric Vehicle Charging Stations,Public,Maryland,MD,Waldorf,3301 Plaza Way,20603,38.62170409100048,-76.91806529799965
Electric Vehicle Charging Stations,Public,Maryland,MD,Linthicum Heights,1718 W Nursery Rd,21090,39.197897741000475,-76.68352785999963
Electric Vehicle Charging Stations,Public,Maryland,MD,Silver Spring,3131 Automobile Blvd,20904,39.07772899000048,-76.94798380399965
Electric Vehicle Charging Stations,Public,Maryland,MD,Silver Spring,12024 Cherry Hill Rd,20904,39.053290638000476,-76.95337730299963
Electric Vehicle Charging Stations,Public,Maryland,MD,Gaithersburg,1 MedImmune Way,20878,39.12622556500048,-77.23168563299964
Electric Vehicle Charging Stations,Public,Maryland,MD,Gaithersburg,1 Medimmune Way,20878,39.12622556500048,-77.23168563299964
Electric Vehicle Charging Stations,Public,Maryland,MD,Gaithersburg,200 Orchard Ridge Dr,20878,39.12744865100046,-77.23303175199965
Electric Vehicle Charging Stations,Public,Maryland,MD,Gaithersburg,1 MedImmune Way,20878,39.12622556500048,-77.23168563299964
Electric Vehicle Charging Stations,Public,Maryland,MD,Gaithersburg,505 Quince Orchard Rd,20878,39.144689325000456,-77.22016843499966
Electric Vehicle Charging Stations,Public,Maryland,MD,Gaithersburg,101 Orchard Ridge Dr,20878,39.12749762100049,-77.23203266499968
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,2204 Rolling Rd,21244,39.32022592900046,-76.75815987599964
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,8050 Liberty Rd,21244,39.353543216000446,-76.75761042799968
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,2204 Rolling Rd,21244,39.32022592900046,-76.75815987599964
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,2401 W Belvedere Ave,21215,39.35468514100046,-76.66225112699965
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,2401 W Belvedere Ave,21215,39.35468514100046,-76.66225112699965
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,3801 Liberty Heights Ave,21215,39.327213945000494,-76.68200944799963
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,2455-2491 W Belvedere Ave,21215,39.33975031400047,-76.68545821299966
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,9621 Belair Rd,21236,39.413388032000455,-76.46314121999967
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,1201 Turner Hall,20742,38.985862116000476,-76.93695694999963
Electric Vehicle Charging Stations,Public,Maryland,MD,College Park,3115 Chesapeake Bldg,20742,38.98748172100045,-76.94219718699964
Electric Vehicle Charging Stations,Public,Maryland,MD,Columbia,9755 Patuxent Woods Dr,21046,39.17670154700045,-76.85228490299966
Electric Vehicle Charging Stations,Public,Maryland,MD,Laurel,3510 Ft Meade Rd,20724,39.10104704000048,-76.82164279899968
Electric Vehicle Charging Stations,Public,Maryland,MD,Elkridge,11 Dorsey Station Dr,21075,39.19727162100048,-76.75565741099967
Electric Vehicle Charging Stations,Public,Maryland,MD,Owings Mills,11405 Reisterstown Rd,21117,39.43870671600047,-76.80374368399964
Electric Vehicle Charging Stations,Public,Maryland,MD,Owings Mills,576-626 Pleasant Hill Rd,21117,39.41086185600045,-76.81197812599964
Electric Vehicle Charging Stations,Public,Maryland,MD,Silver Spring,1401 Blair Mill Rd,20910,38.99011858600045,-77.03225538399965
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,1701 Woodlawn Dr,21207,39.31272861600047,-76.73500466899964
Electric Vehicle Charging Stations,Public,Maryland,MD,Columbia,5440 Old Tucker Row,21044,39.222329423000474,-76.88737999999967
Electric Vehicle Charging Stations,Public,Maryland,MD,Potomac,10122 River Rd,20854,39.017768427000476,-77.20858152299968
Electric Vehicle Charging Stations,Public,Maryland,MD,Newburg,12480 Crain Hwy,20664,38.369378381000445,-76.96143061299966
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,Cross Campus Dr,21252,39.39000400500049,-76.60532598299966
Electric Vehicle Charging Stations,Public,Maryland,MD,Towson,8000 York Rd,21252,39.39299146500048,-76.60449676599967
Electric Vehicle Charging Stations,Public,Maryland,MD,Columbia,6800 Cradlerock Way,21045,39.19441320800047,-76.84114671599963
Electric Vehicle Charging Stations,Public,Maryland,MD,Columbia,5585 Twin Knolls Rd,21045,39.21957717300046,-76.84012220199963
Electric Vehicle Charging Stations,Public,Maryland,MD,Lutherville,1830 York Rd,21093,39.43268680100044,-76.62269066399966
Electric Vehicle Charging Stations,Public,Maryland,MD,Lutherville,1801 York Rd,21093,39.4306958090005,-76.62168036199967
Electric Vehicle Charging Stations,Public,Maryland,MD,Timonium,2085 York Rd,21093,39.43994486300045,-76.62592054799967
Electric Vehicle Charging Stations,Public,Maryland,MD,Lutherville-Timonium,20 W Ridgley Rd,21093,39.43007422700049,-76.62171062299967
Electric Vehicle Charging Stations,Public,Maryland,MD,Bethesda,7115 Arlington Rd,20814,38.981069540000476,-77.09838743899968
Electric Vehicle Charging Stations,Public,Maryland,MD,Bethesda,7701 Wisconsin Ave,20814,38.986908206000464,-77.09473709399964
Electric Vehicle Charging Stations,Public,Maryland,MD,Bethesda,10415 Old Georgetown Rd,20814,39.02580985300045,-77.12576009099968
Electric Vehicle Charging Stations,Public,Maryland,MD,Frederick,5050 Westview Dr,21703,39.37698002700046,-77.41334848499963
Electric Vehicle Charging Stations,Public,Maryland,MD,Indian Head,3225 Ruth B Swann Dr,20640,38.623210378000465,-77.08624250799966
Electric Vehicle Charging Stations,Public,Maryland,MD,Indian Head,4195 Indian Head Hwy,20640,38.59974367200044,-77.16433655299966
Electric Vehicle Charging Stations,Public,Maryland,MD,Abingdon,3005 Emmorton Rd,21009,39.47668998500046,-76.30971754399962
Electric Vehicle Charging Stations,Public,Maryland,MD,Lusby,11745 Rousby Hall Rd,20657,38.37333786200048,-76.44258934599964
Electric Vehicle Charging Stations,Public,Maryland,MD,Rosedale,8606 Philadelphia Rd,21237,39.33369503500046,-76.49552653099965
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,4020 Eastern Ave,21224,39.28685755800046,-76.56256529699965
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,7900 Eastern Ave,21224,39.29592776700048,-76.50846738999968
Electric Vehicle Charging Stations,Public,Maryland,MD,Marlow Heights,5000 Auth Way,20746,38.82616606300047,-76.92377467999967
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,6301 York Rd,21212,39.37139005400047,-76.60978533699966
Electric Vehicle Charging Stations,Public,Maryland,MD,Baltimore,6301 York Rd,21212,39.37139005400047,-76.60978533699966
Electric Vehicle Charging Stations,Public,Maryland,MD,White Marsh,10201 Philadelphia Rd,21162,39.3697381450005,-76.44686839999963
Electric Vehicle Charging Stations,Public,Maryland,MD,Rockville,15911 Indianola Dr,20855,39.1135891080005,-77.16059004899967
Electric Vehicle Charging Stations,Public,Maryland,MD,Edgewood,1930 Pulaski Hwy,21040,39.435337510000465,-76.31533519799967
Electric Vehicle Charging Stations,Public,Maryland,MD,Frederick,7418 Grove Rd,21704,39.39065802800047,-77.40787721599963
